lab	cell	treatment	antibody	name	TF	trueRep	allRep	subRepN	bam	bamSize
HudsonAlpha	A549	EtOH_0.02pct	USF-1	wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	USF-1	A549_EtOH_0.02pct_USF-1	A549_EtOH_0.02pct_USF-1	1	https://www.encodeproject.org/files/ENCFF000NIU/@@download/ENCFF000NIU.bam	654
HudsonAlpha	A549	EtOH_0.02pct	USF-1	wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	USF-1	A549_EtOH_0.02pct_USF-1	A549_EtOH_0.02pct_USF-1	2	https://www.encodeproject.org/files/ENCFF000NIO/@@download/ENCFF000NIO.bam	506
HudsonAlpha	A549	EtOH_0.02pct	USF-1	wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk	USF-1	A549_EtOH_0.02pct_USF-1	A549_EtOH_0.02pct_USF-1	1	https://www.encodeproject.org/files/ENCFF000NIX/@@download/ENCFF000NIX.bam	1780
HudsonAlpha	A549	EtOH_0.02pct	USF-1	wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk	USF-1	A549_EtOH_0.02pct_USF-1	A549_EtOH_0.02pct_USF-1	2	https://www.encodeproject.org/files/ENCFF000NJB/@@download/ENCFF000NJB.bam	1560
UT-A	A549	None	CTCF	wgEncodeAwgTfbsUtaA549CtcfUniPk	CTCF	A549_None_CTCF	A549_None_CTCF	1	https://www.encodeproject.org/files/ENCFF000RLW/@@download/ENCFF000RLW.bam	1300
UT-A	A549	None	CTCF	wgEncodeAwgTfbsUtaA549CtcfUniPk	CTCF	A549_None_CTCF	A549_None_CTCF	2	https://www.encodeproject.org/files/ENCFF000RLY/@@download/ENCFF000RLY.bam	1270
UW	A549	None	CTCF	wgEncodeAwgTfbsUwA549CtcfUniPk	CTCF	A549_None_CTCF	A549_None_CTCF	1	https://www.encodeproject.org/files/ENCFF001GVI/@@download/ENCFF001GVI.bam	318
UW	A549	None	CTCF	wgEncodeAwgTfbsUwA549CtcfUniPk	CTCF	A549_None_CTCF	A549_None_CTCF	2	https://www.encodeproject.org/files/ENCFF001GVJ/@@download/ENCFF001GVJ.bam	571
Broad	GM12878	None	CTCF	wgEncodeAwgTfbsBroadGm12878CtcfUniPk	CTCF	GM12878_None_CTCF	GM12878_None_CTCF	1	https://www.encodeproject.org/files/ENCFF000ARG/@@download/ENCFF000ARG.bam	462
Broad	GM12878	None	CTCF	wgEncodeAwgTfbsBroadGm12878CtcfUniPk	CTCF	GM12878_None_CTCF	GM12878_None_CTCF	2	https://www.encodeproject.org/files/ENCFF000ARI/@@download/ENCFF000ARI.bam	902
Stanford	GM12878	None	CTCF_(SC-15914)	wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	CTCF	GM12878_None_CTCF_(SC-15914)	GM12878_None_CTCF	1	https://www.encodeproject.org/files/ENCFF000VUE/@@download/ENCFF000VUE.bam	421
Stanford	GM12878	None	CTCF_(SC-15914)	wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	CTCF	GM12878_None_CTCF_(SC-15914)	GM12878_None_CTCF	2	https://www.encodeproject.org/files/ENCFF000VUC/@@download/ENCFF000VUC.bam	244
UT-A	GM12878	None	CTCF	wgEncodeAwgTfbsUtaGm12878CtcfUniPk	CTCF	GM12878_None_CTCF	GM12878_None_CTCF	1	https://www.encodeproject.org/files/ENCFF000ROM/@@download/ENCFF000ROM.bam	352
UT-A	GM12878	None	CTCF	wgEncodeAwgTfbsUtaGm12878CtcfUniPk	CTCF	GM12878_None_CTCF	GM12878_None_CTCF	2	https://www.encodeproject.org/files/ENCFF000RON/@@download/ENCFF000RON.bam	299
UT-A	GM12878	None	CTCF	wgEncodeAwgTfbsUtaGm12878CtcfUniPk	CTCF	GM12878_None_CTCF	GM12878_None_CTCF	3	https://www.encodeproject.org/files/ENCFF000ROQ/@@download/ENCFF000ROQ.bam	512
UW	GM12878	None	CTCF	wgEncodeAwgTfbsUwGm12878CtcfUniPk	CTCF	GM12878_None_CTCF	GM12878_None_CTCF	1	https://www.encodeproject.org/files/ENCFF001HHN/@@download/ENCFF001HHN.bam	266
UW	GM12878	None	CTCF	wgEncodeAwgTfbsUwGm12878CtcfUniPk	CTCF	GM12878_None_CTCF	GM12878_None_CTCF	2	https://www.encodeproject.org/files/ENCFF001HHS/@@download/ENCFF001HHS.bam	682
HudsonAlpha	GM12878	None	EBF1_(SC-137065)	wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk	EBF1	GM12878_None_EBF1_(SC-137065)	GM12878_None_EBF1	1	https://www.encodeproject.org/files/ENCFF000NUG/@@download/ENCFF000NUG.bam	1370
HudsonAlpha	GM12878	None	EBF1_(SC-137065)	wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk	EBF1	GM12878_None_EBF1_(SC-137065)	GM12878_None_EBF1	2	https://www.encodeproject.org/files/ENCFF000NUE/@@download/ENCFF000NUE.bam	732
